"title","subtitle","place","period","publisher","periodicity","language"
"A Ação","orgão da Ação Católica da Diocese do Crato","Crato, CE","1941","","Desconhecida","por"
"A Actualidade ","orgão dos interesses do povo","Queluz de Minas [Conselheiro Lafaiete, MG]","1912","","Desconhecida",""
"A Actualidade","","Juiz de Fora, MG","1892-","Typ. Pereira de Silva Gomes e Pereira","Desconhecida","por"
"A Actualidade","","São João del Rei, MG","1898","[s.n.]","Semanal","por"
"A Actualidade","","Rio Grande, RS","1892","[s.n.]","Desconhecida","por"
"A Actualidade","","Belo Horizonte, MG","1906","","","por"
"A Actualidade","jornal critico, litterario e noticioso","Porto Alegre, RS","1867","Typ. do Rio Grandense","Semanal","por"
"A Actualidade","jornal político, litterario e noticioso","Rio de Janeiro, RJ","1858-1864","Typ. de Paula Brito","","por"
"A Agricultura","Publicação periodica, gratuita da ""Sociedade de Agricultura e Criação de Joinville""","Joinville, SC","1935 a 1936","","Indeterminada","por"
"A Agua Benta","","Caxias, MA","1849","Typ. Independente","Irregular","por"
"A Aguia","diario politico, literario, analytico, e mercantil","Lisboa [Portugal]","1834 a 1835","","Indeterminada","por"
"A Águia","órgão de a Renascença Portuguesa","Porto [Portugal]","1912","Tip. Costa Carregal","Mensal",""
"A Alavanca","orgao litterario, artistico, scientifico e commercial","Rio de Janeiro, RJ","1900","Martins, Typgs. e Lithgs","Semanal","por"
"A Alliança","","São Carlos do Pinhal [São Carlos, SP]","1878","Typ. da Allianca","Desconhecida","por"
"A Alvorada : orgao democratico","","Piracicaba, SP","1880-","Typ. da Alvorada","Semanal","por"
"A Alvorada : orgao litterario, critico e noticioso","","São Luis, MA","1895","[s.n.]","","por"
"A Alvorada","","Ponte Nova, MG","1906","","Desconhecida",""
"A Alvorada","jornal noticioso","Fortaleza, CE","1894-","Typ. Universal","Número único","por"
"A Alvorada","orgam litterario, humoristico e noticioso","Rio Pardo, RS","1912","","Semanal",""
"A Alvorada","orgao republicano do 5o. districto","Santana do Aratuhype [Aratuípe, BA]","1889-1893","[s.n.]","Semanal","por"
"A Alvorada","periódico literário, noticioso e crítico","Pelotas, RS","1926, 1936","","Indeterminada",""
"A Alvorada","periodico litterario e noticioso","Tarauacá, AC","1913-1919","Offic. d'O Municipio","Irregular",""
"A Alvorada","quinzenario noticioso, litterario e humoristico : jornal dos estudantes","Rio de Janeiro, RJ","1919","","Quinzenal",""
"A Alvorada","semanario republicano: orgam do Partido Republicano Portugues","São Pedro do Sul, RS","1913","Typ. Novo Estabelecimento","Semanal",""
"A America : publicacao quinzenal, scientifica, litteraria, commercial, industrial e noticioso","","Rio de Janeiro, RJ","1879","Typ. Cosmopolita","2 vezes por mês","por"
"A America","semanario de revista critica, propaganda pela democracia, artes e lettras","Belém, PA","1878-","Typ. d'A America","Semanal","por"
"A Aplicacao : redigida por alguns alumnos do Mosteiro de S. Bento","","Rio de Janeiro, RJ","1889","Typ. Economica","Mensal","por"
"A Arte : orgao da escola de desenho e pintura","","Curitiba, PR","1888","[s.n.]","","por"
"A Arte","orgam defensor do theatro nacional","Ouro Preto, MG","1905","Companhia Luso-Brasileira","Desconhecida",""
"A Arte","orgao do gremio dramatico Arthur Azevedo","Santos, SP","1896-1897","Typo-Lithographia Ribeiro","Mensal","por"
"A Arte Dramatica","jornal de occasiao","Recife, PE","1884","Typ. do Jornal do Recife","Mensal","por"
"A Atalaia","orgam politico, scientifico e litterario","Guaratinguetá, SP","1879","Typ. da Atalaia","Desconhecida","por"
"A Atalaia do Sul","jornal commercial e noticioso","Jaguarão, RS","1864","[s.n.]","","por"
"A Aurora","","Salvador, BA","1866","Typ. de A. Olavo da Franca Guerra","Desconhecida","por"
"A Aurora","","Cametá, PA","1887","[s.n.]","Semanal","por"
"A Aurora","","Rio de Janeiro, RJ","1895","[s.n.]","Quinzenal","por"
"A Aurora","periodico litterario e noticioso","Florianópolis, SC","1902","[s.n.]","Desconhecida","por"
"A Aurora","periodico litterario, noticioso e commercial","Valença, BA","1883-1884","[s.n.]","Desconhecida","por"
"A Aurora Fluminense : jornal politico e litterario","","Rio de Janeiro, RJ","1827-1839","Typ. do Diário","Irregular","por"
"A Aurora Paulistana","folha litteraria, indutrial e política","São Paulo, SP","1851-1852","[s.n.]","","por"
"A Auxiliadora","","Vitória, ES","1900","[s.n.]","","por"
"A Avenida :","semanario illustrado","Rio de Janeiro, RJ","1912","[s.n.]","Semanal","por"
"A Bahia","","Bahia [Salvador, BA]","1881-","[s.n.]","Semanal","por"
"A Bala : orgão litterario e noticioso","","Teresina, PI","1883-","Typ. da Epoca","2 vezes por mês","por"
"A Bala","","Juiz de Fora, MG","1897","Typ. Mattoso","Desconhecida","por"
"A Bala","","Manaus, AM","1895","","Indeterminada","por"
"A Bala","jornal politico, noticioso, critico e humoristico","Cataguases, MG","1897","[s.n.]","Semanal","por"
"A Bala","projectil litterario e republicano","Natal, RN","1896-","[s.n.]","Desconhecida","por"
"A Balanca","","Bahia [Salvador, BA]","1878-","Typ. de Gama e Filho","Quinzenal","por"
"A Barca de Sao Pedro","periodico politico e talvez da opposicao","Pernambuco","1848","Typ. Imparcial","2 vezes por semana","por"
"A Barca de Vigia","jornal politico","Pernambuco","1847","Typ. Liberal","Duas vezes por semana","por"
"A Barricada : revista democrática","","Rio de Janeiro, RJ","1877-","Typ. Economica","Semanal","por"
"A Batalha","","Rio de Janeiro, RJ","1929-[1940?]","[s.n.]","","por"
"A Batalha","","Porto Alegre, RS","1886","Typ. de C. Reinhandt","Quinzenal",""
"A Batalha","orgao do commercio e lavoura","Rio de Janeiro, RJ","1884-","Typ. Cosmopolita","Desconhecida","por"
"A Biblioteca","","Rio de Janeiro, RJ","1944 a 1959","","Indeterminada","por"
"A Bicycleta","semanario cyclistico illustrado","São Paulo, SP","1896-","[s.n.]","Semanal","por"
"A Bisnaga","orgam humoristico e que nao molha orvalha","Juiz de Fora, MG","1897","[s.n.]","Número único","por"
"A Boa Nova","","Ceará","[s.d.]","[s.n.]","","por"
"A Bohemia","quinzenario illustrado e litterario","São Paulo, SP","1896-","Typ. Branne e Filho","Quinzenal","por"
"A Bola em Revista","","Rio Branco, AC","1968","","Indeterminada","por"
"A Bolaxa","poetico e instruidor","Pavuna, CE","1895-","Typ. da Padaria Cerebral","Desconhecida","por"
"A Bomba","","Curitiba, PR","1913","[s.n.]","","por"
"A Bonança","","Sacramento, MG","1911","","Desconhecida",""
"A Bonança","","Sacramento, MG","1911","","","por"
"A Borboleta : periodico miscelanico","","Rio de Janeiro, RJ","1844-","Typ. de J.E.S. Cabral","4 vezes por mes","por"
"A Borboleta","","Rio de Janeiro, RJ","1857-","Typ. Fluminense","Semanal","por"
"A Borboleta","mino ao bello sexo; periodico exclusivamente litterario","Teresina, PI","1883","Typ. da Imprensa","Desconhecida","por"
"A Borboleta","orgao litterario dedicado ao bello sexo","Curvelo, MG","1902","[s.n.]","Semanal","por"
"A Borboleta","periodico litterario e recreativo","Aracaju, SE","1859","Typ. Uniao Liberal","","por"
"A Borboleta","periodico litterario e recreativo","Recife, PE","1892","Lith. de Manuel G. Mendes","Semanal","por"
"A Borboleta","periodico litterario, recreativo e theatral","Rio de Janeiro, RJ","1897","[s.n.]","Mensal","por"
"A Borboleta Poetica","periodico politico e satyrico","Rio de Janeiro, RJ","1849-","Typ. de M.A. da Silva Lima","Semanal","por"
"A Braza","N. 1, com artigo de apresentação e um conto","","15/09/1867","","","por"
"A Brisa : jornal litterario, critico e recreiativo","","São Luis, MA","1872","[s.n.]","","por"
"A Brisa","jornal litterario, recreativo e noticioso","Fortaleza, CE","1875","Typ. Imparcial","","por"
"A Bussola","jornal democratico, scientifico, litterario e criterioso","Juiz de Fora, MG","1881-","","Semanal","por"
"A Bussola Americana","periodico politico, noticioso, litterario e commercial","Recife, PE","1865","Typ. Americana de Nabor e Ca.","Semanal","por"
"A Camelia","semanario dedicado ao bello sexo","Mar de Espanha, MG","1898","Offic. da Gazeta Municipal","Semanal","por"
"A Campanha : semanario independente e noticioso","","Campo Grande, MS","1929","[s.n.]","","por"
"A Cançoneta","","Rio de Janeiro, RJ","1902","Typ. A Tribuna","Quinzenal",""
"A Cantharida","orgao do partido... que estiver de cima","Carangola, MG","1894","Typ. do Monitor Mineiro","Desconhecida","por"
"A Capital : orgam livre","","Cuiabá, MT","1924-1949","[s.n.]","","por"
"A Capital","","Manaus, AM","1917","[s.n.]","","por"
"A Capital","","Bahia [Salvador, BA]","1926-1927","[s.n.]","","por"
"A Capital","","Rio de Janeiro, RJ","1907","","Desconhecida",""
"A Capital","","Porto Alegre, RS","1909","","Duas vezes por semana",""
"A Capital","","Niterói, RJ","1902","","Diária","por"
"A Capital","","Belo Horizonte, MG","1896","","Desconhecida",""
"A Carapuca : jornal satyrico, para recreio das familias","","Rio de Janeiro, RJ","1857-","Typ. Americana de Jose Soares de Pinho","Irregular","por"
"A Carapuça","","Rio de Janeiro, RJ","1850","Typ. Carioca, de J.I. da Silva","Semanal","por"
"A Carapuça","","Rio de Janeiro, RJ","1880","Typ. Economica","Quinzenal","por"
"A Careta","Jornal Critico Poetico e Litterato : N. 4.","Rio de Janeiro, RJ","1863","","","por"
"A Caricatura : periodico satyrico theatral","","Rio de Janeiro, RJ","1851-","Typ. de Santos e Silva Junior","Desconhecida","por"
"A Caridade","","Maceió, AL","1885","[s.n.]","Desconhecida","por"
"A Caridade","orgão do grupo spirita Antônio de Pádua","Ouro Preto, MG","1898","[s.n.]","","por"
"A Carranca","periodico politico-moral, satyrico-comico","Recife, PE","1845-","Typ. da União","","por"
"A Chronica : jornal politico","","Caxias, MA","1853-","Typ. Independente","Desconhecida","por"
"A Chronica","","Rio de Janeiro, RJ","1879-","Typ. Aldina","Desconhecida","por"
"A Chrysalis","","Rio de Janeiro, RJ","1900","","Semanal",""
"A Cidade","","Ouro Preto, MG","1901-1904","Typ. A Cidade","Desconhecida","por"
"A Cidade","","Viçosa, MG","1961","","Quinzenal",""
"A Cidade","","Guaranésia, MG","1981-","","Quinzenal","por"
"A Cidade","orgao do Partido Republicano","Sobral, CE","1899-","[s.n.]","2 vezes por semana","por"
"A Cidade de Taubate","","Taubaté, SP","1895-","Typ. da Cidade de Taubate","Desconhecida","por"
"A Cidade de Viçosa","","Viçosa, MG","1897","","Desconhecida",""
"A Cidade do Rio : jornal da tarde","","Rio de Janeiro, RJ","[1887?]-","[s.n.]","Desconhecida","por"
"A Cidade do Rio de Janeiro","","","1850-","Typ. do Diario do Rio de N.L. Vianna","Semanal","por"
"A Cidade do Turvo ","orgão republicano federal","Dores do Turvo, MG","1890-","Typ. d'A Cidade do Turvo","Semanal","por"
"A Cigarra","","Rio de Janeiro, RJ","1895-","Offic. Graph. de J. Bevilacqua & C.","Semanal","por"
"A Cigarra","","São Luis, MA","1829-1830","Typ. Nacional e Imperial","Desconhecida","por"
"A Cigarra","","São Paulo, SP","[1914-1975]","","Quinzenal","por"
"A Civilisação da Africa Portuguesa","Semanario dedicado a tratar dos interesses administrativos, economicos, mercantis, agricolas e industriaes da Africa portuguesa, particularmente da Angola e Thomé","Luanda [Angola]","1866 a 1869","","Indeterminada","por"
"A Civilizaçao","folha consagrada aos interesses Geraes do Paiz","Santos, SP","1861","[s.n.]","","por"
"A Classe","","Crato, CE","1949-1950","[s.n.]","","por"
"A Classe Operaria : jornal de trabalhadores, feito por trabalhadores","","Rio de Janeiro, RJ","1925-1928","[s.n]","","por"
"A Coaliçao","","São Luis, MA","1862-1866","Typ. do Progresso","2 vezes por semana","por"
"A Colonia Paraense","homenagem ao disticto cidadao doutor Innocencio Serzedello Correa no dia de sua chegada ao Amazonas","Manaus, AM","1896","Typ. Imp. Official","Indeterminada","por"
"A Colonia Portugueza","","Belém, PA","1885","Typ. d'A Colonia Portuguesa","Semanal","por"
"A Columna","jornal revolucionario","Campo Bello [Campo Belo, MG]","1933","","Desconhecida",""
"A Comarca","orgam independente e noticioso","Mafra, SC","1919","","Indeterminada","por"
"A Comarca","orgão independente de integração dos municipios: Caldas, Santa Rita de Caldas, Ipuiuna e Ibitiura de Minas","Caldas, MG","1980","","Desconhecida",""
"A Comedia Social : hebdomadario popular e satirico","","Rio de Janeiro, RJ","1870-","[s.n]","Semanal","por"
"A Conciliacao","","São Luis, MA","1856","Typ. de J.M. da Cunha Torres","","por"
"A Conciliacao","orgao do Partido Republicano","Santarém, PA","1889-1890","Typ. do Baixo Amazonas","Semanal","por"
"A Confederação","orgam do Partido Republicano Collegial","Manaus, AM","1972","","Desconhecida","por"
"A Consciencia Nacional","jornal politico-social","Rio de Janeiro, RJ","1877-","Typ. de Domingos Luiz dos Santos","","por"
"A Consolidação","folha republicana","Campanha, MG","1896","Typ. Oliveira e Mello","Semanal","por"
"A Constituiçao : orgao do Partido Conservador","","Belém, PA","1873-1886","Typ. da Constituição, de Manuel José Siqueira Mendes","Irregular","por"
"A Constituiçao","","Fortaleza, CE","1864-1889","Typ. Constitucional","Diária","por"
"A Constituiçao","","Rio de Janeiro, RJ","1885-","Typ. Americana, de Jose Soares de Pinho","Semanal","por"
"A Constituinte : orgam liberal, diario","","São Paulo, SP","1879-","Typ. da Constituinte","Diária","por"
"A Contrariedade pelo Povo","","Rio de Janeiro, RJ","1849-","Typ. Brasiliense","","por"
"A Conviccao","","Feira de Santana, BA","1884-","[s.n.]","N. especial","por"
"A Cremacao","periodico recreativo","Rio de Janeiro, RJ","1883-","Typ. da Revista do Exercito Brazileiro","Quinzenal","por"
"A Crença","","São Paulo, SP","1873","[s.n.]","","por"
"A Crença","jornal hebdomadario, politico, litterario, e pugnador dos interesses populares","Rio de Janeiro, RJ","1863","[s.n.]","","por"
"A Crença","jornal politico e litterario","Rio de Janeiro, RJ","1887-","Typ. Mont'Alverne","","por"
"A Crenca","jornal politico, noticioso e litterario","Pernambuco","1865","Typ. Commercial","3 vezes por mês","por"
"A Crença","orgao conservador","Aracaju, SE","1873","[s.n.]","Semanal","por"
"A Crença","periodico quinzenal dedicado a mocidade Vassourense","Vassouras, RJ","1876-","Typ. do Municipio","Quinzenal","por"
"A Crise","periodico politico literario e noticiador","Aracaju, SE","1863","[s.n.]","Semanal","por"
"A Cruz ","orgao da Liga Social Catholica Brasileira de Matto-Grosso","Cuiabá, MT","1919-1969","Offic. Typ. Profissionais Salesianas","","por"
"A Cruz : orgao da Liga Social Catholica Brasileira de Matto-Grosso","","Cuiabá, MT","1919-1969","Offic. Typ. Profissionais Salesianas","","por"
"A Cruz","","Recife, PE","1881-","Typ. Universal","Semanal","por"
"A Cruz","","Juiz de Fora, MG","1895","Typ. Americana","Semanal","por"
"A Cruz","orgam da accao social catholica","Parnaiba, PI","1915","[s.n.]","Desconhecida","por"
"A Cruz","orgam da acçao social catholica","Amarante, PI","1906","[s.n.]","Mensal","por"
"A Cruz","orgam do grupo espirita fe, esperanca e caridade, de Amarante","Amarante, PI","1906","Typ. da Cruz","Mensal","por"
"A Cruz","orgao do Partido Catholico do Piauhy","Teresina, PI","1891","Typ. da Cruz","Semanal","por"
"A Cruz","revista catholica","[S.l.]","1890-1891","Typ. S. Thomé","Três vezes por semana","por"
"A Cruz","semanario religioso","Porto [Portugal]","1853","","Semanal","por"
"A Cruzada","","Queluz de Minas [Conselheiro Lafaiete, MG]","1930","[s.n.]","","por"
"A Cruzada","","Queluz de Minas [Conselheiro Lafaiete, MG]","1930","","Quinzenal",""
"A Cruzada","critica, litteraria e chistosa","Bahia [Salvador, BA]","1889","[s.n.]","Semanal","por"
"A Cruzada","periodico litterario e censorio","Maceió, AL","1893","[s.n.]","Desconhecida","por"
"A Dadiva","folha avulsa e offerecida aos freguezes de Caetano de Mattos","Niterói, RJ","1885","[s.n.]","Desconhecida","por"
"A Defesa","semanario independente","Oliveira, MG","1933","","",""
"A Democracia : periodico politico, litterario e scientifico","","Rio de Janeiro, RJ","1887","Typ. d'A Democracia","3 vezes por semana","por"
"A Democracia","orgão dedicado aos interesses estadoaes, municipaes, do commercio e da agricultura.","Oliveira, MG","1896","","Desconhecida",""
"A Democracia","orgao popular","Maceió, AL","1878","Typ. Social","Bissemanal","por"
"A Derrocada","","Ouro Preto, MG","1893-1894","[s.n.]","","por"
"A Descentralisação","orgão da democracia","Cruz Alta, RS","1881","","Desconhecida",""
"A Divulgação","edição especial do Centenário","Curitiba, PR","1853","","Desconhecida",""
"A Doutrina ","orgao da Federaçao Espirita do Parana","Curitiba, PR","1906","[s.n.]","","por"
"A Emancipação","","Nictheroy [Niterói, RJ]","1880","[s.n.]","","por"
"A Encrenca","critico, litterario e noticioso","Manaus, AM","1915-1917","","Desconhecida",""
"A Encruzilhada","","Encruzilhada do Sul, RS","1891","[s.n.]","Desconhecida","por"
"A Epoca : jornal da mocidade em prol das aspiracoes colectivas","","Caxias do Sul, RS","1938-1956","[s.n.]","","por"
"A Epoca","","Rio de Janeiro, RJ","1912-[1919?]","Sociedade Anonyma A Epoca","","por"
"A Epoca","","Rio Preto, MG","1911","","Semanal",""
"A Época","","Florianópolis, SC","1912","","Semanal","por"
"A Epoca","jornal de industria, sciencias, litteratura e bellas artes","Lisboa [Portugal]","1848-1849","","","por"
"A Época","jornal idependente","Lages, SC","1935","","Indeterminada","por"
"A Epoca","orgam do circulo juridico academico","São Paulo, SP","1902","","","por"
